domain,key,value,unit,source_id,source_type,confidence,note
ppv_model,K,858.90,unitless,NIRM_2005_MT134_02,mine_specific,high,"Site constant for PPV = K*(D/sqrt(W))^(-b); Neyveli Mine I+II combined"
ppv_model,b,1.58,unitless,NIRM_2005_MT134_02,mine_specific,high,Attenuation exponent
ppv_model,r,0.86,unitless,NIRM_2005_MT134_02,mine_specific,high,Correlation coefficient of the regression
ppv_model,n_blasts,22,blasts,NIRM_2005_MT134_02,mine_specific,high,Monitored blasts
ppv_model,n_obs,68,observations,NIRM_2005_MT134_02,mine_specific,high,Monitored vibration observations
ppv_model,n_regression,84,data_sets,NIRM_2005_MT134_02,mine_specific,high,84 data sets (Mine I+II, mostly Mine II) used for regression
ppv_model,freq_range_hz,5-27,Hz,NIRM_2005_MT134_02,mine_specific,high,Dominant frequency range; <10 Hz usually present
ppv_model,purpose,loosen_for_bwe,text,NIRM_2005_MT134_02,mine_specific,high,"No fragmentation/displacement required; loosening for BWE cost-effective operation"
ppv_model,high_ppv_mechanism,low_specific_charge_plus_wet_ground,text,NIRM_2005_MT134_02,mine_specific,high,NIRM attribution for Neyveli being highest-PPV of studied mines
legacy_1994,safe_level_mms,12.5,mm/s,LAUBAG_NLC_masterplan_1995,mine_specific,medium,"Safe level adopted for 1994 NIRM study (USBM older-homes threshold)"
legacy_1994,mine1_freq_range_hz,5-39,Hz,LAUBAG_NLC_masterplan_1995,mine_specific,medium,NIRM 1994 study of Mine I
legacy_1994,mine2_freq_range_hz,5-28,Hz,LAUBAG_NLC_masterplan_1995,mine_specific,medium,NIRM 1994 study of Mine II
legacy_1994,rec_scaled_distance_mine1,25.0,m/sqrt.kg,LAUBAG_NLC_masterplan_1995,mine_specific,medium,Recommended to keep PPV <= 12.5 mm/s
legacy_1994,rec_scaled_distance_mine2,14.6,m/sqrt.kg,LAUBAG_NLC_masterplan_1995,mine_specific,medium,Recommended to keep PPV <= 12.5 mm/s
legacy_1994,residential_natural_freq_hz,4-24,Hz,LAUBAG_NLC_masterplan_1995,literature,medium,Natural frequencies of 1-2 storey houses; resonance overlap with blast freq
operational,ob_blasted_fraction,0.30,fraction,miningtech_2017_or_NLC,mine_specific,high,"~30% of total OB blasted; Surface+Top benches; Northern half hard Cuddalore sandstone"
